human,bacterial,score
J3QRZ0,A0A0J6C3N6,0.999587834
J3QRZ0,A0A0J6C494,0.990597904
J3QRZ0,A0A0J6C5S7,0.993159235
J3QRZ0,A0A0J6C2H7,0.996604323
J3QRZ0,A0A0J6C3Q8,0.997572482
J3QRZ0,A0A0J6C5G7,0.991193116
J3QRZ0,A0A0J6C4G9,0.99322468
J3QRZ0,A0A0J6C4X3,0.992340207
J3QRZ0,A0A0J6C5X7,0.99112016
J3QRZ0,A0A0J6C2X6,0.992224097
J3QRZ0,A0A0J6C3Y0,0.9981457
J3QRZ0,A0A0J6C3X6,0.996049464
J3QRZ0,A0A0J6C3I8,0.999329686
J3QRZ0,A0A0J6C4J5,0.999673367
J3QRZ0,A0A0J6C4D7,0.99191463
J3QRZ0,A0A0J6C2M2,0.990108252
J3QRZ0,A0A0J6C2M8,0.995001376
J3QRZ0,A0A0J6C529,0.999395847
J3QRZ0,A0A0J6C3C7,0.990124166
J3QRZ0,A0A0J6C4T3,0.99543494
J3QRZ0,A0A0J6C5Q1,0.999545634
J3QRZ0,A0A0J6C4K2,0.994907558
J3QRZ0,A0A0J6C561,0.996148467
J3QRZ0,A0A0J6C2V4,0.993276775
J3QRZ0,A0A0J6C486,0.999799192
J3QRZ0,A0A0J6C4S9,0.994677424
J3QRZ0,A0A0J6C2P9,0.997264862
J3QRZ0,A0A0J6C3V3,0.999626517
J3QRZ0,A0A0J6C4W5,0.998382449
J3QRZ0,A0A0J6C4Q9,0.99450016
J3QRZ0,A0A0J6C413,0.994716704
J3QRZ0,A0A0J6C424,0.999286115
J3QRZ0,A0A0J6C4C3,0.997122824
J3QRZ0,A0A0J6C4L1,0.99991715
J3QRZ0,A0A0J6C4J8,0.993893147
J3QRZ0,A0A0J6C5Y5,0.990387976
J3QRZ0,A0A0J6C406,0.991764009
J3QRZ0,A0A0J6C5P1,0.998630822
J3QRZ0,A0A0J6C344,0.998287022
J3QRZ0,A0A0J6C5U9,0.999992251
J3QRZ0,A0A0J6C2K2,0.998767018
J3QRZ0,A0A0J6C351,0.993360579
J3QRZ0,A0A0J6C449,0.994356215
J3QRZ0,A0A0J6C367,0.996006191
J3QRZ0,A0A0J6C3F6,0.998927891
J3QRZ0,A0A0J6C3G1,0.996228814
J3QRZ0,A0A0J6C4D3,0.995042324
J3QRZ0,A0A0J6C4Z2,0.996566653
J3QRZ0,A0A0J6C5V9,0.99519664
J3QRZ0,A0A0J6C362,0.996330321
J3QRZ0,A0A0J6C484,0.994940639
J3QRZ0,A0A0J6C5G1,0.997136474
J3QRZ0,A0A0J6C5T9,0.998142719
J3QRZ0,A0A0J6C5X3,0.999921203
J3QRZ0,A0A0J6C306,0.99430275
J3QRZ0,A0A0J6C5R5,0.996337175
J3QRZ0,A0A0J6C5Q5,0.992114305
J3QRZ0,A0A0J6C4E7,0.999963284
J3QRZ0,A0A0J6C2Y7,0.990852654
J3QRZ0,A0A0J6C4E0,0.99268806
J3QRZ0,A0A0J6C550,0.997069418
J3QRZ0,A0A0J6C4P2,0.999709547
J3QRZ0,A0A0J6C3U7,0.992888153
J3QRZ0,A0A0J6C408,0.998439729
J3QRZ0,A0A0J6C5A7,0.99511981
J3QRZ0,A0A0J6C2U2,0.996047676
J3QRZ0,A0A0J6C4N8,0.99545598
J3QRZ0,A0A0J6C2V6,0.992569864
J3QRZ0,A0A0J6C4Q3,0.990613222
J3QRZ0,A0A0J6C4R4,0.994757831
J3QRZ0,A0A0J6C575,0.999542832
J3QRZ0,A0A0J6C4E4,0.995758832
J3QRZ0,A0A0J6C4Y8,0.994344115
